query_id,query
query25,"Hei! Kas te vastate ka küsimusele, kui ma midagi küsin Raamatu peale kukkus ümber lillevaas. Lehed nüüd ""lainetavad"". Mida peaksin tegema?"
query26,"tere, kas saate mind aidata? mul on tähtaeg üle, aga raamat on kadunud. mida ma tegema peaksin?"
query27,"Tere päevast! Ei oska otsida.Aidake kokku said vein ja raamatud, mida olin teilt laenutaud. Kas on minbit lootust, et saan veel kunagi teie uksest sisened"
query28,"Tere Vedru! Minu küsimus on, kas tasu minu enda rumalusest rikutud raamatute eest saab maksta ka kaardiga"
query29,"Tere Bürokratt! mul on küsimus Mul läks kotis kus olid teie raamatukogust laenatud raamatud, šampoonipudel lahti. Kas aab raamatut pesta"
query30,"Tere, mul on ehk raske küsimus, Kui raamat on kadunud, kas siis saab probleemi lahendada ainult läbi inkasso"
query31,"Tere bürokratt! vajan infot kuidas toimida, kui rikkusin raamatu ära: lugesin vannis ja kukkus vette"
query32,"õhtust, tahan esitada küsimust kui palju kaotatud raamat maksab?"
query33,Tere hommikust! Ei leia raamatuid kusagilt.
query34,terekest Ei leia raamatut Kuidas saaksin kompenseerida
query35,"õhtust! pean homme raamatu tagastama, aga ma ei leia seda"
query36,"heihei ma ei tea, kus raamat on"
query37,tere mu laenutatud raamatud on vist sõbra käes ja ta läks reisile
query38,tere päevast Kahjuks ei ole mul onnestunud seda raamatut leida.
query39,teretere ma kaotasin raamatu ära
query40,tere mul ei ole õnnestunud raamatut leida
query41,Tere hommikut! kuidas peaksin toimima kui Teilt laenutatud raamatut ei leia?
query42,tere mul on raamatu kadunud
query43,"tere kõigile! ma ei leia raamatud kodust, ilmselt unustasin maale"
query44,"teree minu küsimus on, et unustasin raamatu rongi,"
query45,tsau Mul on keeruline küsimus Unustasin raamatud taksosse. Mida pean nüüd tegema
query46,Tervist. mul on abi vaja ma kaotasin raamatu ära
query47,tere me ei leia infot kui ma ei leia laentutatud raamatut
query48,"hommikust ma ei leia selle kohta infot, et mu raamat pole veel välja ilmunud"
query49,"õhtust ma ei oska otsida, kus seda ise teha raamat ununes vanaema juurde"
query50,"tere mul on teile küsimus, et mu laps unustas raamatu koolikappi"
query51,hommik vajan abi soeses kadunud raamatutega
query52,tere kratt kas saate mind aidata ei leia raamatut
query53,"tere vedru kirjutan, et saada infot kui mu laenutatud raamat on kadunud"
query54,hei palun infot mulle ma ei leia seda raamatut
query55,Tere hommikust Ma ei leia raamatut!
query56,Tere õhtust! Kogemata katsusin teie raamatut märja käega. Kas nüüd ongi rikutud ja pean välja maksma
query57,Tere päevast! Ajasin kohvi raamatule ning osad lehed on nüüd rikutud
query58,"Õhtust! Raamat, mis ma tagasi tõin nägi tõesti kole välja (vabandan), kuid nii se lihtsalt läks"
query59,tere mul on raamat kadunud
query60,"hommik Kui koer näris ära raamatul ainult ühe nurga (hästi vähe), kas võtate vastu"
query61,tere ma rikkusin raamatu ära
query62,hei ajasin kohvi raamatule ning osad lehed on nüüd rikutud
query63,terekest palju maksab kaotatud raamatu kompenseerimine?
query64,tsau lõhkusin kogemata raamatul paar lehte
query65,tere päevast Mul raamat kadunud. Teil peaks olema vist mingi väljamaksmise süsteem ka.
query66,"Tere, Ma tänan, aga mul ei ole veel küsimusi"
query67,"Soovin küsida, kus saab pikendada laenatud raamatu tähtaega"
query68,Kust saan abi? Kust uurida kohaliku omavalitsue kontakte?
query69,"tere mul on probleem. Esitasin e-poele kaebuse kas seadus sätestab, kui kaua pean e-poe vastust ootama?"
query70,"mul on kauplejaga erimeelsus, seega esitasin täna tarbijakaitse avalduse. Vahepeal sain juba kauplejaga kokkuleppele, seega kuidas oleks võimalik see avaldus tagasi võtta/tühistada?"
query71,"Hommik, kas täna tuleb kena ilm? Ma mõtlesin, et kui klapib, siis sooviksin bussipiletit broneerida, et võsule sõita. Kas oskad mind aidata sellega?"
query72,"vajan abi, aga sa ei saa aru mis ma mõtlen ja ei oska midagi öelda nagunii. Suuna mind inimesele"
query73,kas sa oled inimene või robot. Aitäh! Sa oled tõesti väga abiks! Kas oled rltüdruk
query74,Ilmaternistus. Kui palju on inimestel maailmas koroonaviirus
query75,Mida pead silmas pidama ja teadma enne kui e-poest kaupa tellid. Headaega
query76,Sa ei saa ilmselt mind aidata. Anna palun siis see küsimus edasi Terviseametile.
query77,"Sa oled ikka nii lammas, ühestki küsimusest aru sa ei saa. Headaega või halba aega lol"
query78,Tere Suve! Kuidas saaksin praegu hambaraviteenust?
query79,"Tere, palju on hetkel inimesi hospitaliseeritud seoses koroonaviirusega?"
query80,"Tere! Viibin Ameerika Ühendriikides. Minu tagasilend Eestisse pidi toimuma 3.mail, kuid see tühistati."
query81,"Tere, kas ettevõtluskonto kasutajatele ka koroonakriisi tõttu mingi maksuvabastus laieneb?"
query82,Tere! Kuivõrd on ohtlik olukord Eestis tänaseks seoses koroonaviirusega?
query83,"Ma olen koristaja koolis.Kas ma saan töötasu,kui töömaht on vähenenud"
query84,"Tere, kus ma saaks venekeelset infot viiruse kohta eestis?"
query85,Mul hakkab ID kaart lõppema. Kuidas peaksin käituma?
query86,"Aitäh pakkumast, ega ma otseselt abi ei otsigi, ainult tahtsin vaadata kas on uusi nakatunuid lisandunud."
query87,"Kui arst määrab isolatsiooni 14 päevaks ,kuna kokku puutund koroona haigega . Kas haigekassa hüvitab"
query88,"Tere.Kui mu kolleegil on COVID 19 test positiivne,siis kuidas mina käituma peaks."
query89,"Tere, kas võib küsida ka koroona viiruse küsimusi?"
query90,"Tere, soovin infot töövõimetuslehe hüvitamise kohta tööandja poole pealt."
query91,"Aitäh sulle, Suve. Oled väga kasulik robot"
query92,tere. kust saab juriidilist abi ettevõtja?
query93,Ei. Tänud
query94,"Tere, mis on koroonaviiruse sümptomid"
query95,Kas covid19 diagnoosiga maksab haigekassa 100% töövõimetuslehte?
query96,Tere! Mis on elu mõte?
query97,"Tere, kas sa oled chat-bot?"
query98,"Tere! Mida teha, kui elamisluba lõpeb? Kas ma saan pikendada elamisluba virtuaalselt?"
query99,Tere! Kas ma saan online-s elamisluba taodelda? Kaua võtab aega elamisloa taotlemine? Head aega!
query100,Kas ma saan digitaalselt pikendada elamisluba? Kas ma saan interneti teel pikendada elamisluba? Head aega!
query101,"Tere!Mida teha, kui elamisluba lõpeb?Tsau!"
query102,Tere!Kas ma saan pikendada elamisluba virtuaalselt?Tsau!
query103,Tere!Kus ma saan taotleda elamisloa pikendamist?Tsau!
query104,"Tere!Kui piirid on suletud, kas ma saan riigist lahkuda elamisloa lõppedes?Tsau!"
query105,Tere!Kas ma saan taotleda elamisloa pikendamist?Tsau!
query106,Tere!Kas ma saan taotleda elamisluba onlines?Tsau!
query107,Tere!Kas ma saan digitaalselt pikendada elamisluba?Tsau!
query108,Tere!Kas ma saan interneti teel pikendada elamisluba?Tsau!
query109,Tere!Kas ma saan praegu elamisluba taotelda?Tsau!
query110,"Tere!Mida on vaja teha, et saada elamisluba?Tsau!"
query111,"Tere!Kui mul on kehtiv elamisluba, aga ma ei viibi Eestis, kas ma saan riiki siseneda?Tsau!"
query112,"Tere!Kui ma olen taotlenud elamisluba, millal saan vastuse?Tsau!"
query113,Tere!Kuidas ma saan elamisluba taotleda?Tsau!
query114,Tere!Kas ma saan online-s elamisluba taodelda?Tsau!
query115,Tere!Kaua võtab aega elamisloa taotlemine?Tsau!
query116,Hei!!! kus kohast ma saan laenutada sipsikut? Head õhtut!
query117,Hei!!! kus kohast ma leian sikpsiku Head õhtut!
query118,Hei!!! kuidas ma saan raamatuid laenutada? Head õhtut!
query119,Hei!!! kus kohast ma saan raamatuid laenutada? Head õhtut!
query120,Hei!!! Kas raamatukogus on olemas üldentsüklopeediaid? Head õhtut!
query121,Hei!!! Kuidas ma saan tagastada raamatuid? Head õhtut!
query122,Hei!!! Kas vaegnägijad saavad raamatuid lugeda? Head õhtut!
query123,Hei!!! Kas teil on olemas kodunduse teemalisi raamatuid? Head õhtut!
query124,Hei!!! Kas eno raua raamatuid on? Head õhtut!
query125,Hei!!! Kus kohast ma leian väljaannete kohta infot? Head õhtut!
query126,Hei!!! Soovin väljaannete infot Head õhtut!
query127,Hei!!! Milliseid teoseid on olemas muusikasaalis? Head õhtut!
query128,Hei!!! Kuidas otsida teavikuid? Head õhtut!
query129,Hei!!! millised teavikud on olemas? Head õhtut!
query130,Hei!!! Milliseid Tiiu Puiki raamatuid on olemas? Head õhtut!
query131,Hei!!! Kas raamatukapp töötab? Head õhtut!
query132,Hei!!! Kas e-laenutus töötab? Head õhtut!
query133,Hei!!! Tahaks raamatut tellida Head õhtut!
query134,Hei!!! Kas Vahingu raamatut oleks võimalik koju tellida? Head õhtut!
query135,Hei!!! Kuidas saan hakata lugejaks? Head õhtut!
query136,Hei!!! Kui suur on raamatu tähtaja ületamisel viivis? Head õhtut!
query137,Hei!!! Kui suur on viivis raamatute puhul? Head õhtut!
query138,Hei!!! Tahan raamatut koju tellida Head õhtut!
query139,Hei!!! Tahan raamatut tellida Head õhtut!
query140,Kui kiiresti on võimalik taotleda passi?Kuidas ma saan oma passi uuendada?
query141,Mida tähendab kiirpass?Kas ma pean tulema PPAsse passi uuendamiseks?
query142,"Kas ma saan taotleda kiirpassi?Mu pass aegub, mida ma tegema pean, et uut passi saada?"
query143,"Mida on vaja teha, et taotleda kiirpassi?Kui kaua uue passi vormistamine aega võtab?"
query144,Kui kiiresti ma kiirpassi saan?Kas ma saan passi uuendada interneti teel?
query145,"Kuidas saan passi taotleda kiirkorras?Kas PPA tahab mind näha, kui tahan passi uuendada?"
query146,Mis ajaga saan kätte kiirkorras reisidokumendi?Kas saan kasutada passi uuendamiseks ID kaardi fotot?
query147,"Mul on vaja passi saada 3 päevaga, kas see on võimalik?Kas eriolukorras võtab passi taotlemine kauem aega?"
query148,Kas kiirkorras passi saab taotleda interneti teel?Kas ma saan reisidokumenti uuendada onlines?
query149,Kuidas saan kähku passi?Kas passi saab uuendada kiirkorras?
query150,"Kas ma saan ID kaarti uuendada?Kui ma olen karantiinis, kas saan ID-kaardi koju tellida?"
query151,Kus ma saan ID kaarti uuendada?Kuidas ma oma ID kaardi kätte saan?
query152,"Mis ma selleks tegema pean, et ID kaarti uuendada?Kas ma pean ID kaardi kätte saamiseks PPA kontorisse tulema?"
query153,Kas ma saan ID kaarti ja passi koos uuendada?Kas ID kaarti on võimalik saada posti teel?
query154,"Kas ma pean kontorisse tulema, et ID kaarti vahetada?Kas PPA kasutab dokumentide saatmiseks kullerit?"
query155,Kui kiiresti ma ID kaardi kätte saan?Kas ID-kaarti on võimalik tellida pakiautomaati?
query156,"Kui ma olen karantiinis, kas saan ID-kaardi koju tellida?Mu pass aegub, kus ma saan uue passi?"
query157,Kust ma uue ID-kaardi saan?Kas ma pean passi taotlemiseks tulema kontorisse?
query158,Mul on vaja ID-kaardi koode?Millised PPA kontorid on avatud?
query159,Mul on vaja uusi sertifikaate?Kas ma saan teha passipildi ise kodus?
query160,"Kas võin teha kodus foto ID-kaardi jaoks?Kui ma olen karantiinis, kas saan passi koju tellida?"
query161,Kas saan kasutada ID kaardi uuendamiseks passi fotot?Kas toote uue passi kulleriga koju?
query162,"Ma ei mäleta ID kaardi koode, kust saan uued?Kas saadate passi ka postiga?"
query163,Tere! kas oled inimene või loom?
query164,"Terekest! Huvitab ilm Valgas,"
query165,"Aitäh sulle, Suve. Oled väga kasulik robot"
query166,"Tere Suve! Sa oled väga tubli, aitäh Sulle!"
query167,"tere, mis värk koroonaga on"
query168,"Tere, Suve! Sul on huvitav nimi."
query169,"Tere,kõik on arusaadav,aitäh roopert."
query170,"Tere Suve, kas uue erinõude puhul on siis keelatud käia kolmekesi bändi prooviruumis?Elame väheasustatud kohas"
query171,Tere. Kas üksi õues jooksmas on eriolukorra ajal sobilik käia?
query172,"Tere, kas sa oled chat-bot?"
query173,"Tere, kas siseruumides (näiteks korteris) on lubatud kogunemised , kus on rohkem kui 2 inimest ?"
query174,"Tere. Ma sooviks teada, et kas mina oma kahe lapsega võin ikka ringi õues liikuda?"
query175,"Ma olen 8 aastane, kas mina võin ka nakatuda"
query176,"Aitäh, oled väga tubli robot!?"
query177,Hei! Kas lapsed haigestuvad koroonaviirusesse ?
query178,Tere. Kas see mask kaitseb COVID-19 viiruse eest? MASK ZEKLER 1403V FFP3 NR 3 VRJH -FO17 SUURED TƒNUD VAST
query179,"Tere! Kas näiteks linnas kambas viibides, võib saada ka trahvi, kui kambas on üle kahe inimese."
query180,"Mind koondati, mida ma tegema pean?"
query181,"Mul on koroona, mida ma tegema pean?"
query182,"Tere Suve! Tore, et oled siin abiks."
query183,Tere. Kui kaua on koolid kaugõppel?
query184,"Tere, Suve! Mida teha, kui naabrid piirangutest kinni ei pea ja sõpradega õues kogunevad?"
query185,kas toolt saadud kirjaga voib garantiini rikkuda ja teise riiki reisida?
query186,Miilised on koroonaviiruse sümptomid? Mul on nohu
query187,"Ma olen 90 aastane ja mul on astma, kas ma siis suren ära kui koroona saan?"
query188,"Tere! Kas oskate soovitada usaldatavaid vabatahtlike, kes toovad toidu vanemaealistele koju?vabatahtlikud.ee"
query189,"Aitäh, head aega"
query190,Tere Suve! Oled sa tõesti robot?
query191,"Tere. Tunnen muret, miks jäävad avatuks ilusalongid?"
query192,"Tere. Tunnen muret, miks jäävad avatuks ilusalongid. Terviseamet sulges kõik salongid Saaremaal."
query193,"Tervist, saan aru nii, et väljas Saab olla mitte rohkem, kui 2 inimest"
query194,"Kui inimesi koondatakse, kus inimene saab selle raha kui ta on haiguslehel"
query195,"Tere, mis on karantiini tingimused?"
query196,Tere. Mul on küsimus seoses suletavate kaubamajadega. Lehes oleva artikli järgi jäävad avatuks vaid apteegid..
query197,Mul on sitt olla ja koroona kahtlus. Mis teha?
query198,"Tere, Erikorralduse kohaselt on suletud spad ja hotellid. Olen hotellis massöör kuid tööandja käseb tööle"
query199,Tere Suve! Kas lemmikloomapoed pannakse ka kinni?
query200,Tere! küsimus selline: kas poodides ka kontrollitakse 2 m distantsi hoidmist?
query201,Tere! Kas juuksurid pannakse kinni?
query202,"Kuidas käituda, kui jään töökohast ilma koroona pärast?"
query203,"Tere!Mure!Rae autokooli sõidutunnid toimuvad vaatamata eriolukorrale edasi.Raha tagasi ei saa,edasi ei lükata?"
query204,Tere. Milline köha on rohkem iseloomulik koroonale või lähevad nii lahtine kui ka kinnine köha sümtomite alla?
query205,Tere! Miks pole ilusalongid kinni?
query206,"Tere, kas restoran või kohvik mis asub eraldi majas ei kehti mingid tingimused peale 2 meetri?"
query207,Tere! Millised on koroonahaige tunnused?
query208,"Tere,kuidas saaksin ma viiruse nakatumisse võimalust vähendada?"
query209,"Terekest! Mida teha, et startup viisat pikendada?Mul lõpeb lühiajalise töötamise viisa, mida ma pean tegema selle pikendamiseks? Hüvasti"
query210,Terekest! Kas ma saan oma startup viisat pikendada?Kui kiiresti saan pikendada lühiajalise töötamise viisat? Hüvasti
query211,"Terekest! Kas ma pean tulema kontorisse viisa pikendamiseks?Kas ma pean riigist lahkuma, kui mu lühiajalise töötamise viisa lõppeb? Hüvasti"
query212,"Terekest! Kas mul on võimalik pikendada startup viisat interneti teel?Kui piirid on suletud ja mu lühiajalise töötamise viisa lõpeb, siis kas ma võin riiki edasi jääda? Hüvasti"
query213,"Terekest! Kui pikaks perioodiks ma viisat pikendada saan?Kui piirid on suletud ja mu lühiajalise töötamise viisa lõpeb, siis kuidas ma saan riigist lahkuda? Hüvasti"
query214,Terekest! Kas ma saan oma startup viisat pikendada digitaalselt?Kas saan lühiajalist viisat pikendada digitaalselt? Hüvasti
query215,Terekest! Kas virtuaalselt on võimalik pikendada lühiajalist töötamise viisat? Hüvasti
query216,Terekest! Kas interneti teel saab pikendada töötamise viisat? Hüvasti
query217,Kaotasin oma ID kaardi. kuhu peab sellest teavitama ja kui kiirelt uue saaks
query218,"täna varastati siin minult telefon, mille vahel oli ka mu ID kaart. Palun tunnistage see kehtetuks või tehke, mida on vaja sellisel juhul teha."
query219,"sooviks tellida uue passi, kuna vana kadus ära"
query220,"Läksin laevaga kaheks päevaks soome, kuid täna minu taskusest oli varastatud mu rahakott koos id kaardiga, kas saaks seda blokeerida?
"
query221,"Tere, ma tean, et on hilja, aga täna minu taskusest oli varastatud mu id kaardiga, kas saaks seda blokeerida?"
query222,Covid tõttu pole ammu väljas pidanud käima ja mul kaotas id kaart vahepeal kehtivuse. Sooviks uut taodelda
query223,"Taotlesin passi, kuid kuna ootamatult on seda nüüd juba varem vaja"
query224,"Kas mul on võimalik maksta lisaks, ning saada pass kätte kiirkorras?"
query225,Kas on mingi võimalus pass või ID-kaart kiirkorras uuesti tellida.
query226,taotlus on juba esitatud aga soovin dokumendid kiirkorras kätte saada
query227,kas id-kaarti oleks võimalik muuta kiir dokumenti vastu?
query228,Kas oleks võimalik pass muuta veel kiirpassiks ?
query229,"ei olnud võimalik kiirkorras dokumenti taotleda, kuid on mul on väga vaja dokument enne 27.08 kätte saada."
query230,Kas e-posti teel on võimalik lisada juba esitatud passi taotlusele kiirkorras avaldus?
query231,"Kas tehtud taotlus oleks võimalik tühistada, et saaksin taodelda kiirpassi?"
query232,oleks vaja mu passi taotlus kiirpassi taotluseks muuta.
query233,Kas on võimalik riigilõivu juurde makstes saada seda taotlust kiirpassi taotluseks?
query234,Kas on võimalik muuta passi tavataotlus kiirpassi vastu makstes juurde vajaliku summa riigilõivuks?
query235,"Andsin sisse tavakorras opassi taotluse, aga nüüd on mul vaja teha pass kiirkorras"
query236,"Tegin avalduse uue passi saamiseks. Kas saab vahetada taotluse kiirmenetluse vastu, et see reedel kätte saada?"
query237,Palun muuta minu esitatud tavataotlus kiirpassi taotluseks.
query238,kavatsen varsti minna resile. Kui passiga läheb kiireks kas saab juurde maksta et saada kiirpassi?
query239,"Kuna kolisin ära siis oleks soov saada minu lapse dokumendid kätte Tartu esindusest.  Palun saatke id-kaart Tartusse
 "
query240,"Kuna me ei jõudnudki id kaardi valmimist ära oodata, siis kas oleks võimalik id kaart saata teise kohta?"
query241,"Sooviksin võtta minu id kaarti mis asub praaegu rakveres, vastu Soomes, Helsinki saatkonnast"
query242,"Taotlesin ID kaarti haapsalu esindusse, kas oleks võimalik see ümbersuunata helsinki eesti saatkonda?"
query243,"Soovin muuta dokumentide väljastuskohta ja tellida dokumendid välisesindusse, Algselt on taotluses tellitud dok-d põlvasse,  kuid soovime neid kätte saada Rootsis Eesti esinduses."
query244,"Minul sai valmis Tartus ID kaart, aga kahjuks mul ei ole võimalust hetkel Eestisse tulla. Kas teil oleks võimalik saata minu uus kaart soome saatkonda."
query245, Sooviksin Tallinnas kätte võtta oma uue ID-kaardi.  Praegu on Genf väljastuskohaks.  Tallinn PPA teeninduskeskus nüüd sobib mulle parem.
query246,"Kas saab muuta ID kaardi väljastamise kohta? Esialgne soov oli Soome, aga võimalusel sooviks dokumente kätte saada Tartust."
query247,Taotlesin endale uue ID kaardi. Kas te saaksite mu dokumendid saata Tallinna  PPA teenindussaali?
query248,"tere. kuna mu id-kaart aegus, siis tegin taotluse uuendamiseks. Kas oleks võimalik muuta selle dokumendi väljastuskohta"
query249,"Ma kirjutan et mul on probleem. Minu plaanis oli võtma minu id kaart Eestis, Tallinnas. Aga ma ikka elan Valgevenes Ma väga tahaksin paluda minu id kaart saatmist siia Minskisse"
